State,District,Clinic Name,Address,Latitude,Longitude,Google Maps Link
NEGERI SEMBILAN,Jelebu,KK Pertang,"KK Pertang, Jelebu, NEGERI SEMBILAN, Malaysia",3.05,102.1,"https://www.google.com/maps/search/?api=1&query=KK+Pertang,+Jelebu,+NEGERI+SEMBILAN,+Malaysia"
NEGERI SEMBILAN,Kuala Pilah,KK Kuala Pilah,"KK Kuala Pilah, Kuala Pilah, NEGERI SEMBILAN, Malaysia",2.75,102.2,"https://www.google.com/maps/search/?api=1&query=KK+Kuala+Pilah,+Kuala+Pilah,+NEGERI+SEMBILAN,+Malaysia"
NEGERI SEMBILAN,Kuala Pilah,KK Johol,"KK Johol, Kuala Pilah, NEGERI SEMBILAN, Malaysia",2.7,102.25,"https://www.google.com/maps/search/?api=1&query=KK+Johol,+Kuala+Pilah,+NEGERI+SEMBILAN,+Malaysia"
WPKL,Putrajaya,Klinik Kesihatan Putrajaya Persint 18,"Klinik Kesihatan Putrajaya Persint 18, Putrajaya, WPKL, Malaysia",2.9167,101.6833,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Putrajaya+Persint+18,+Putrajaya,+WPKL,+Malaysia"
WPKL,Kepong,Klinik Kesihatan Jinjang,"Klinik Kesihatan Jinjang, Kepong, WPKL, Malaysia",3.2,101.65,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Jinjang,+Kepong,+WPKL,+Malaysia"
WPKL,Cheras,Klinik Kesihatan Cheras,"Klinik Kesihatan Cheras, Cheras, WPKL, Malaysia",3.1,101.7333,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Cheras,+Cheras,+WPKL,+Malaysia"
WPKL,Titiwangsa,Klinik Kesihatan Kuala Lumpur,"Klinik Kesihatan Kuala Lumpur, Titiwangsa, WPKL, Malaysia",3.1667,101.7,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Kuala+Lumpur,+Titiwangsa,+WPKL,+Malaysia"
WPKL,Lembah Pantai,Klinik Kesihatan Tanglin,"Klinik Kesihatan Tanglin, Lembah Pantai, WPKL, Malaysia",3.15,101.6833,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Tanglin,+Lembah+Pantai,+WPKL,+Malaysia"
WPKL,Lembah Pantai,Klinik Kesihatan Petaling Bahagia,"Klinik Kesihatan Petaling Bahagia, Lembah Pantai, WPKL, Malaysia",3.1,101.65,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Petaling+Bahagia,+Lembah+Pantai,+WPKL,+Malaysia"
MELAKA,Melaka Tengah,Klinik Kesihatan Batu Berendam,"Klinik Kesihatan Batu Berendam, Melaka Tengah, MELAKA, Malaysia",2.25,102.25,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Batu+Berendam,+Melaka+Tengah,+MELAKA,+Malaysia"
MELAKA,Melaka Tengah,Klinik Kesihatan Cheng,"Klinik Kesihatan Cheng, Melaka Tengah, MELAKA, Malaysia",2.25,102.2333,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Cheng,+Melaka+Tengah,+MELAKA,+Malaysia"
MELAKA,Alor Gajah,Klinik Kesihatan Alor Gajah,"Klinik Kesihatan Alor Gajah, Alor Gajah, MELAKA, Malaysia",2.38,102.208,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Alor+Gajah,+Alor+Gajah,+MELAKA,+Malaysia"
MELAKA,Alor Gajah,Klinik Kesihatan Hutan Percha,"Klinik Kesihatan Hutan Percha, Alor Gajah, MELAKA, Malaysia",2.4,102.2,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Hutan+Percha,+Alor+Gajah,+MELAKA,+Malaysia"
MELAKA,Jasin,Klinik Kesihatan Jasin,"Klinik Kesihatan Jasin, Jasin, MELAKA, Malaysia",2.3,102.4333,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Jasin,+Jasin,+MELAKA,+Malaysia"
MELAKA,Jasin,Klinik Kesihatan Merlimau,"Klinik Kesihatan Merlimau, Jasin, MELAKA, Malaysia",2.15,102.35,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Merlimau,+Jasin,+MELAKA,+Malaysia"
JOHOR,Johor Bahru,KK Mahmoodiah,"KK Mahmoodiah, Johor Bahru, JOHOR, Malaysia",1.4667,103.75,"https://www.google.com/maps/search/?api=1&query=KK+Mahmoodiah,+Johor+Bahru,+JOHOR,+Malaysia"
JOHOR,Muar,KK Maharani,"KK Maharani, Muar, JOHOR, Malaysia",2.05,102.5667,"https://www.google.com/maps/search/?api=1&query=KK+Maharani,+Muar,+JOHOR,+Malaysia"
JOHOR,Batu Pahat,KK Batu Pahat,"KK Batu Pahat, Batu Pahat, JOHOR, Malaysia",1.85,102.9333,"https://www.google.com/maps/search/?api=1&query=KK+Batu+Pahat,+Batu+Pahat,+JOHOR,+Malaysia"
JOHOR,Segamat,KK Segamat,"KK Segamat, Segamat, JOHOR, Malaysia",2.5,102.8167,"https://www.google.com/maps/search/?api=1&query=KK+Segamat,+Segamat,+JOHOR,+Malaysia"
JOHOR,Segamat,KK Bandar Putra,"KK Bandar Putra, Segamat, JOHOR, Malaysia",1.65,103.6,"https://www.google.com/maps/search/?api=1&query=KK+Bandar+Putra,+Segamat,+JOHOR,+Malaysia"
JOHOR,Kluang,KKIA Jalan Sultanah,"KKIA Jalan Sultanah, Kluang, JOHOR, Malaysia",2.0333,103.3167,"https://www.google.com/maps/search/?api=1&query=KKIA+Jalan+Sultanah,+Kluang,+JOHOR,+Malaysia"
PAHANG,Bentong,Klinik Kesihatan Bentong,"Klinik Kesihatan Bentong, Bentong, PAHANG, Malaysia",3.5167,101.9,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bentong,+Bentong,+PAHANG,+Malaysia"
PAHANG,Bentong,Klinik Kesihatan Karak,"Klinik Kesihatan Karak, Bentong, PAHANG, Malaysia",3.4,102.0333,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Karak,+Bentong,+PAHANG,+Malaysia"
PAHANG,Bera,Klinik Kesihatan Bandar 32,"Klinik Kesihatan Bandar 32, Bera, PAHANG, Malaysia",3.5,102.4,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bandar+32,+Bera,+PAHANG,+Malaysia"
PAHANG,Bera,Klinik Kesihatan Bukit Mendi,"Klinik Kesihatan Bukit Mendi, Bera, PAHANG, Malaysia",3.4,102.5,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bukit+Mendi,+Bera,+PAHANG,+Malaysia"
PAHANG,Cameron Highlands,Klinik Kesihatan Ringlet,"Klinik Kesihatan Ringlet, Cameron Highlands, PAHANG, Malaysia",4.45,101.3833,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Ringlet,+Cameron+Highlands,+PAHANG,+Malaysia"
PAHANG,Cameron Highlands,Klinik Kesihatan Kampung Raja,"Klinik Kesihatan Kampung Raja, Cameron Highlands, PAHANG, Malaysia",4.5667,101.4,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Kampung+Raja,+Cameron+Highlands,+PAHANG,+Malaysia"
TERENGGANU,Kemaman,KK Air Putih,"KK Air Putih, Kemaman, TERENGGANU, Malaysia",4.2333,103.4167,"https://www.google.com/maps/search/?api=1&query=KK+Air+Putih,+Kemaman,+TERENGGANU,+Malaysia"
TERENGGANU,Kemaman,KK Kuala Kemaman,"KK Kuala Kemaman, Kemaman, TERENGGANU, Malaysia",4.2333,103.4333,"https://www.google.com/maps/search/?api=1&query=KK+Kuala+Kemaman,+Kemaman,+TERENGGANU,+Malaysia"
TERENGGANU,Dungun,KK Bukit Besi,"KK Bukit Besi, Dungun, TERENGGANU, Malaysia",4.75,103.2,"https://www.google.com/maps/search/?api=1&query=KK+Bukit+Besi,+Dungun,+TERENGGANU,+Malaysia"
TERENGGANU,Dungun,KK Kuala Dungun,"KK Kuala Dungun, Dungun, TERENGGANU, Malaysia",4.7667,103.4,"https://www.google.com/maps/search/?api=1&query=KK+Kuala+Dungun,+Dungun,+TERENGGANU,+Malaysia"
TERENGGANU,Marang,KK Bukit Payong,"KK Bukit Payong, Marang, TERENGGANU, Malaysia",5.25,103.1,"https://www.google.com/maps/search/?api=1&query=KK+Bukit+Payong,+Marang,+TERENGGANU,+Malaysia"
TERENGGANU,Marang ,KK Marang,"KK Marang, Marang , TERENGGANU, Malaysia",5.2167,103.2167,"https://www.google.com/maps/search/?api=1&query=KK+Marang,+Marang,+TERENGGANU,+Malaysia"
KELANTAN,Kuala Krai,Klinik Kesihatan Bandar Kuala Krai,"Klinik Kesihatan Bandar Kuala Krai, Kuala Krai, KELANTAN, Malaysia",5.5333,102.2,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bandar+Kuala+Krai,+Kuala+Krai,+KELANTAN,+Malaysia"
KELANTAN,Kuala Krai,Klinik Kesihatan Manik Urai,"Klinik Kesihatan Manik Urai, Kuala Krai, KELANTAN, Malaysia",5.5,102.25,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Manik+Urai,+Kuala+Krai,+KELANTAN,+Malaysia"
KELANTAN,Bachok,Klinik Kesihatan Bachok,"Klinik Kesihatan Bachok, Bachok, KELANTAN, Malaysia",6.0667,102.4,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bachok,+Bachok,+KELANTAN,+Malaysia"
KELANTAN,Bachok,Klinik Kesihatan Mahligai,"Klinik Kesihatan Mahligai, Bachok, KELANTAN, Malaysia",6.1,102.35,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Mahligai,+Bachok,+KELANTAN,+Malaysia"
KELANTAN,Pasir Puteh,Klinik Kesihatan Cherang Ruku,"Klinik Kesihatan Cherang Ruku, Pasir Puteh, KELANTAN, Malaysia",5.8333,102.5,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Cherang+Ruku,+Pasir+Puteh,+KELANTAN,+Malaysia"
KELANTAN,Machang,Klinik Kesihatan Pulai Chondong,"Klinik Kesihatan Pulai Chondong, Machang, KELANTAN, Malaysia",5.75,102.25,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Pulai+Chondong,+Machang,+KELANTAN,+Malaysia"
SARAWAK,Kuching,KK Jalan Masjid,"KK Jalan Masjid, Kuching, SARAWAK, Malaysia",1.55,110.35,"https://www.google.com/maps/search/?api=1&query=KK+Jalan+Masjid,+Kuching,+SARAWAK,+Malaysia"
SARAWAK,Kuching,KK Kota Sentosa,"KK Kota Sentosa, Kuching, SARAWAK, Malaysia",1.5,110.3333,"https://www.google.com/maps/search/?api=1&query=KK+Kota+Sentosa,+Kuching,+SARAWAK,+Malaysia"
SARAWAK,Samarahan,KK Kota Samarahan,"KK Kota Samarahan, Samarahan, SARAWAK, Malaysia",1.55,110.45,"https://www.google.com/maps/search/?api=1&query=KK+Kota+Samarahan,+Samarahan,+SARAWAK,+Malaysia"
SARAWAK,Samarahan,KK Asajaya,"KK Asajaya, Samarahan, SARAWAK, Malaysia",1.5833,110.55,"https://www.google.com/maps/search/?api=1&query=KK+Asajaya,+Samarahan,+SARAWAK,+Malaysia"
SARAWAK,Serian,KKIA Serian,"KKIA Serian, Serian, SARAWAK, Malaysia",1.35,110.55,"https://www.google.com/maps/search/?api=1&query=KKIA+Serian,+Serian,+SARAWAK,+Malaysia"
SARAWAK,Serian,KK Balai Ringin,"KK Balai Ringin, Serian, SARAWAK, Malaysia",1.5,110.75,"https://www.google.com/maps/search/?api=1&query=KK+Balai+Ringin,+Serian,+SARAWAK,+Malaysia"
SABAH,PKK Kota Kinabalu,KK Luyang,"KK Luyang, PKK Kota Kinabalu, SABAH, Malaysia",5.9667,116.1,"https://www.google.com/maps/search/?api=1&query=KK+Luyang,+PKK+Kota+Kinabalu,+SABAH,+Malaysia"
SABAH,PKK Kota Kinabalu,KK Menggatal,"KK Menggatal, PKK Kota Kinabalu, SABAH, Malaysia",6.0333,116.15,"https://www.google.com/maps/search/?api=1&query=KK+Menggatal,+PKK+Kota+Kinabalu,+SABAH,+Malaysia"
SABAH,PKK Sandakan,KK Sandakan,"KK Sandakan, PKK Sandakan, SABAH, Malaysia",5.85,118,"https://www.google.com/maps/search/?api=1&query=KK+Sandakan,+PKK+Sandakan,+SABAH,+Malaysia"
SABAH,PKK Tawau,KK Tawau,"KK Tawau, PKK Tawau, SABAH, Malaysia",4.25,117.9,"https://www.google.com/maps/search/?api=1&query=KK+Tawau,+PKK+Tawau,+SABAH,+Malaysia"
SABAH,PKD Keningau,KKIA Keningau,"KKIA Keningau, PKD Keningau, SABAH, Malaysia",5.3333,116.1667,"https://www.google.com/maps/search/?api=1&query=KKIA+Keningau,+PKD+Keningau,+SABAH,+Malaysia"
SABAH,PKD Keningau ,KK Bingkor,"KK Bingkor, PKD Keningau , SABAH, Malaysia",5.2,116.3167,"https://www.google.com/maps/search/?api=1&query=KK+Bingkor,+PKD+Keningau,+SABAH,+Malaysia"
LABUAN,Labuan,KK Labuan,"KK Labuan, Labuan, LABUAN, Malaysia",5.2833,115.25,"https://www.google.com/maps/search/?api=1&query=KK+Labuan,+Labuan,+LABUAN,+Malaysia"
